idx,Title of the Solution,Type of the Solution,Affected Sector,Description of the solution,Socio-economic effects,Type of Measure--1. active measures (direct measures for reduction of air pollution),Type of Measure--2. policy/regulation measure,Type of Measure--3. mitigation measures,Type of Measure--4. awareness raising and knowladge sharing,Type of sub-measure--1. active measures (direct measures for reduction of air pollution),Type of sub-measure--2. policy/regulation measure,Type of sub-measure--3. mitigation measures,Type of sub-measure--4. awareness raising and knowladge sharing,Type of sub-measure--5. (none),Who led the solution--civil society organization,Who led the solution--environmental ngos,Who led the solution--households/individuals,Who led the solution--international development agencies,Who led the solution--international organization,Who led the solution--local government,Who led the solution--national government,Who led the solution--other,Who led the solution--other public institution,Who led the solution--private sector,Who led the solution--professional organization,Who led the solution--schools,Who led the solution--students,Who led the solution--teachers,Who led the solution--academia,Timescale of implementation--long-term (5 and above),Timescale of implementation--medium-term (2-4 years),Timescale of implementation--ongoing (data collection and advocacy are continuous processes),Timescale of implementation--short-term (up to 1 year),Timescale of implementation--varies,Other Notes,Location--1,Location--2,Location--3,Location--4,Location--5,Location--6,Location--7,Location--8,Location--9,Location--10,Location--11,Location--12,Location--13,Tags for the solution--1,Tags for the solution--2,Tags for the solution--3,Tags for the solution--4,Tags for the solution--5,SDG(s)--1,SDG(s)--2,SDG(s)--3,SDG(s)--4,location-1-lat,location-1-lng,location-2-lat,location-2-lng,location-3-lat,location-3-lng,location-4-lat,location-4-lng,location-5-lat,location-5-lng,location-6-lat,location-6-lng,location-7-lat,location-7-lng,location-8-lat,location-8-lng,location-9-lat,location-9-lng,location-10-lat,location-10-lng,location-11-lat,location-11-lng,location-12-lat,location-12-lng,location-13-lat,location-13-lng,auto_thematic-tag-1,auto_thematic-tag-2,auto_thematic-tag-3,auto_thematic-tag-4,auto_thematic-tag-5,auto_thematic-tag-6,auto_thematic-tag-7,auto_thematic-tag-8,auto_thematic-tag-9,auto_thematic-tag-10,auto_thematic-tag-11,auto_thematic-tag-12,auto_thematic-tag-13,auto_thematic-tag-14,auto_thematic-tag-15,auto_thematic-tag-16,auto_thematic-tag-17,auto_thematic-tag-18,auto_thematic-tag-19,auto_thematic-tag-20,auto_thematic-tag-21,auto_thematic-tag-22,auto_thematic-tag-23,auto_thematic-tag-24,auto_thematic-tag-25,auto_thematic-tag-26,auto_thematic-tag-27,auto_thematic-tag-28,auto_thematic-tag-29,auto_thematic-tag-30,auto_thematic-tag-31,auto_thematic-tag-32,auto_thematic-tag-33,auto_thematic-tag-34,auto_thematic-tag-35,auto_thematic-tag-36,auto_thematic-tag-37,thematic_areas-tag-1,thematic_areas-tag-2,thematic_areas-tag-3,thematic_areas-tag-4,thematic_areas-tag-5,sdgs-tag-1,sdgs-tag-2,sdgs-tag-3,sdgs-tag-4
31,Industrial pollution tax,Green Taxation,Industry,"Introduced alongside two other green taxes in 2014, Chile has a tax for PM, NOx, and SO2 emissions from industrial sources and thermo-electric plants. The tax is set at a variable rate based on the environmental damage associated with emissions in different areas. Thus, the tax rate not only captures the estimated marginal damage of a ton of emission in a specific locality but signals to companies the most environmentally efficient geographic location in which to be based. The policy has proved very effective, raising significant revenue and PM levels dropping by approximately seven percent from the regulated industries. In addition, generators have agreed not to develop new coal-fired plants and to phase out existing ones.",Health.,FALSE,Policy/regulation measure,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,On finance: green taxes can be a significant source of income for the state to be used for further reducing air pollution. It should not be relied on as a source of income long-term as the goal is to reduce emissions and hence the tax revenue.,"-31.7613365, -71.3187697",,,,,,,,,,,,,Green Tax,Emissions Tax,Sustainable Industry,Industry,Air Pollution,Good health and well-being,"Industry, innovation and infrastructure",,,-31.7613365,-71.3187697,,,,,,,,,,,,,,,,,,,,,,,,,money,logging,older,biowaste,ecological,month,bonfires,decades,coal,bee,pollution,slabs,pay,populated,demographics,émissions,cooled,day,taxes,eco,,,,,,,,,,,,,,,,,,air pollution,Green Tax,Emissions Tax,industry,Sustainable Industry,Good health and well-being,"Industry, innovation and infrastructure",,
32,,Information campaign and capacity building,Agriculture,"Mi parcela no se quema is a national information campaign and capacity-building program raising awareness on the negative impacts of stubble burning. Stubble burning is a significant source of air pollution and contributes to biodiversity loss, soil degradation, and wildfires. Workshops teach farmers to avoid agricultural burning and opt for alternative stubble management practices such as using the stubble as ground cover, feed for livestock, or compost and fertilizer use. New production systems based on conservation agriculture are also promoted, which include maintaining permanent soil coverage, minimum tillage, and crop diversification.",Enhanced health. Enhanced soil health.,FALSE,FALSE,FALSE,Awareness raising and knowladge sharing,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,"23.6585116, -102.0077097",,,,,,,,,,,,,Sustainable agriculture,Biowaste management,Air quality,,,Zero hunger,Good health and well-being,,,23.6585116,-102.0077097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sustainable agriculture,Air Quality,Biowaste management,,,Zero hunger,Good health and well-being,,
33,Air quality around sensitive receivers,Regulation,Construction,"The Netherland's Sensitive Receivers Decree (Besluit gevoelige bestemmingen (luchtkwaliteitseisen)) prohibits buildings designated as sensitive receivers from being built near provincial roads and motorways. Sensitive receivers include schools for primary and secondary education, buildings for childcare, nursing homes, and elderly care. Furthermore, such buildings can only be built or expanded if the limit values for air quality are not exceeded.",Avoided health impacts on vulnerable groups.,FALSE,Policy/regulation measure,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,"52.2434979, 5.6343227",,,,,,,,,,,,,Air quality,Urban plannng,Preventive measures,Voulnerable citizens (Children,Elderly),Good health and well-being,,,,52.2434979,5.6343227,,,,,,,,,,,,,,,,,,,,,,,,,protect,language,demographics,harm,formalization,required,restrictions,collaboration,excels,day,collaborative,month,civil,country,administration,decades,improving,analyse,translation,political,regulations,керівник,participate,والاجتماعية,efficient,politicians,threats,older,huge,,,,,,,,,Air Quality,Urban plannng,Preventive measures,Elderly),Voulnerable citizens (Children,Good health and well-being,,,
34,Hoy No Circula (The No Drive Days Program),Regulation,Transport,"The program aims to prevent, minimize, and control the emission of pollutants from vehicles that circulate in the State of Mexico.  It implements partial driving restrictions determined by a vehicle's emission level classification. These classifications dictate the days when a vehicle is permitted to circulate. In times of heightened pollution, additional limitations are imposed in accordance with the severity of the environmental conditions.",Health. Reduced traffic congestion.,FALSE,Policy/regulation measure,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,"19.4839446, -99.6899716",,,,,,,,,,,,,No-Drive-Days,Air pollution,Sustainable transport,Reduce traffic,,Good health and well-being,Sustainable cities and communities,Climate action,,19.4839446,-99.6899716,,,,,,,,,,,,,,,,,,,,,,,,,biowaste,bike,neighborhood,pollution,efficient,neighbourhood,older,huge,populated,demographics,émissions,cooled,day,ride,eco,ecological,month,municipales,evaporating,decades,improving,pour,roads,,,,,,,,,,,,,,,Sustainable Transport,No-Drive-Days,Reduce traffic,air pollution,,Good health and well-being,Sustainable cities and communities,Climate action,
35,Paris 15-minute city,Urban planning,Transport,"Paris is turning the city into myriad neighborhoods where residents can find everything they need within a comfortable 15-minute walk or cycle from home. The city plans to install a cycle path on every street and bridge, increase office space and co-working hubs in neighborhoods that lack them, expand the uses of infrastructure and buildings outside standard hours, encourage people to use their local shops, and create small parks in school playgrounds that would be open to local people outside of school hours to combat the city‚Äôs lack of public green space.","Increased accessibility to services, local economic development, health benefits from both active modes of transport (walking, biking, etc.) and improved air quality.",FALSE,Policy/regulation measure,FALSE,FALSE,FALSE,FALSE,Mitigation measures,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Video explaining the 15-minute concept: https://youtu.be/McGyONofhi4?feature=shared

Further resources: https://www.paris.fr/dossiers/paris-ville-du-quart-d-heure-ou-le-pari-de-la-proximite-37","48.8534951, 2.3483915",,,,,,,,,,,,,Urban planning,15-minute city,Walkable city,Air quality,Sustainable city,Good health and well-being,Sustainable cities and communities,Climate action,,48.8534951,2.3483915,,,,,,,,,,,,,,,,,,,,,,,,,business,bike,neighborhood,improvement,money,purchase,neighbourhood,threats,transport,harm,violence,day,financières,ride,crimes,tomorrow,municipales,improve,travel,financial,improving,weekly,,,,,,,,,,,,,,,,Walkable city,Sustainable city,Urban planning,Air Quality,15-minute city,Good health and well-being,Sustainable cities and communities,Climate action,
36,,"Training, Awareness raising",Agriculture,"The Center for No-till Farming (CTNF) provides farmers with access to community, knowledge and technical advice on no-till farmning and conservation agriculture. Activities include field-level demonstrations, community-based training events and peer-to-peer communication to share experiences and provide resources. No-till farming is planting crops on farmland year after year without tilling the soil. In conservation agriculture, not burning residues means that after harvest, farmers leave all the residues on the field to decompose and serve as nutrients for the soil.",Enhanced public health. Enhanced soil health.,FALSE,FALSE,FALSE,Awareness raising and knowladge sharing,FALSE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,https://centrefornotill.org/training-center,"8.0300284, -1.0800271",,,,,,,,,,,,,No-till farming,Sustainable Agriculture,No-burn Agriculture,Agricultural Waste,Training,Zero hunger,Good health and well-being,Climate action,,8.0300284,-1.0800271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,training,sustainable agriculture,agricultural waste,No-till farming,No-burn Agriculture,Good health and well-being,Zero hunger,Climate action,
37,,Community Initiative,Energy,"Röstånga energy community is a group of neighbours that enables members to acquire their own photovoltaic systems, and other renewable and energy-efficient energy solutions, at an affordable price. They reduce costs by cutting out the middleman and handling planning, purchasing, assembly, installation, and commissioning within the cooperative's framework. At the same time, members contribute with their own time and skills.","Reduced energy costs, enhanced energy democrary",FALSE,FALSE,Mitigation measure,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"On finance: The cooperative model is in this case more cost-effective than for an individual house to install solar panels. To further incentivize the adoption of solar energy, this approach could be combined with government subsidies or business models increasing afforability.","62, 15",,,,,,,,,,,,,Energy Community,Renewable Energy,Solar Energy,Clean Energy,,Good health and well-being,Affordable and clean energy,Sustainable cities and communities,Climate action,62,15,,,,,,,,,,,,,,,,,,,,,,,,,solución,innovationchallenge,costs,cooled,repurposed,electric,collaboration,problemes,health,project,guide,collaborative,assistance,complicated,cheap,ejecución,improving,afforestation,pictures,efficient,choices,participate,photo,problems,greenhouse,craft,business,sustainable,medicine,carnicería,,,,,,,,Energy Community,solar energy,clean energy,renewable energy,,Sustainable cities and communities,Good health and well-being,Climate action,Affordable and clean energy
38,,Community Initiative,Energy,"The energy community operates a processing and standardization unit for residual biomass that comes from the regional unit of Karditsa (forest residues, agricultural residues, urban tree prunings, etc.) and turns it into pellets. The region has a significant potential for residual biomass flows originating from agricultural residues, wood processing industries, and municipalities, which can support the development of bioenergy. Members of the community are municipalities, small and medium-sized enterprises, associations (estimated 8%), and citizens.",Enhanced energy democracy,FALSE,FALSE,Mitigation measure,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,"39.3660304, 21.9287519",,,,,,,,,,,,,Energy Community,Agricultural Waste,Energy,Bioenergy,,Good health and well-being,Affordable and clean energy,Climate action,,39.3660304,21.9287519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Community,energy,Bioenergy,bio energy,agricultural waste,Affordable and clean energy,Climate action,Good health and well-being,
39,,Citizen Initiative,Transport,"EH!CO!CHE is a non-profit consumer cooperative that offers sustainable mobility solutions to its members through the use of shared electric cars. It provides a car-sharing service where the vehicle is purchased by the cooperative and rented to members. The cooperation is directed towards all of Aragon, including cities and towns, organizations, companies or associations, and all people willing to change the chip and want to have a car that belongs to as many members as possible.",Reduced costs for low-carbon mobility,FALSE,FALSE,Mitigation measure,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"On finance: Buy collectively purchasing electrical cars and offering them through a car-sharing service, the cooperative can lower costs and increase the affordability of e-mobility for its members.","40, -4",,,,,,,,,,,,,Energy Community,Air pollution,E-mobility,Car sharing,Electrical cars,Good health and well-being,Sustainable cities and communities,,,40,-4,,,,,,,,,,,,,,,,,,,,,,,,,accessible,purchase,medicine,neighbourhood,business,participate,disabilities,populated,demographics,easier,required,restrictions,émissions,costs,cooled,electric,collaboration,health,financières,ride,poor,collaborative,colourful,crafts,municipales,thematic,bike,neighborhood,pollution,,,,,,,,,Car sharing,air pollution,Energy Community,E-mobility,Electrical cars,Sustainable cities and communities,Good health and well-being,,
40,Santiago respira (Santiago Breaths),"Policy intervention, Subsidy scheme",Households,"Firewood used to produce as much as 94 per cent of fine particulate matter (PM2.5) emissions in some Chilean cities. In 2014, the Government launched a programme in the centre-south region to replace 200,000 firewood heaters with more energy-efficient heaters such as new gas, paraffin or wood pellet-based heaters. This resulted in a reduction in emissions and improved indoor air quality.","Health, Reduced energy costs, Reduced energy poverty",Active measures (direct measures for reduction of air pollution),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,"-31.7613365, -71.3187697",,,,,,,,,,,,,Air pollution,Firewood heaters,energy-efficient heaters,Indoor air quality,,Good health and well-being,Sustainable cities and communities,,,-31.7613365,-71.3187697,,,,,,,,,,,,,,,,,,,,,,,,,huge,populated,planted,language,demographics,forest,formalization,émissions,cooled,excels,day,ecological,month,civil,observations,country,administration,improve,measuring,decades,improving,analyse,translation,pollution,political,керівник,participate,heat,والاجتماعية,improvement,efficient,politicians,older,,,,,Indoor air quality,air pollution,energy-efficient heaters,Firewood heaters,,Sustainable cities and communities,Good health and well-being,,
41,Stockholm Congestion Tax,Policy intervention,Transport,"The congestion tax is charged during fixed hours for vehicles driving into and out of Stockholm city center. The amount varies, depending on the time when the vehicle passes the toll station. The purpose of the congestion tax is to reduce congestion and improve accessibility. Due to the reduced traffic, the measure also results in health benefits of reduced air pollution.",Health,FALSE,FALSE,Mitigation measure,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,On finance: the green tax can be a significant source of income for the state to be used for further reducing air pollution. It should not be relied on as a source of income long-term as the goal is to reduce emissions and hence the tax revenue.,"59.3251172, 18.0710935",,,,,,,,,,,,,Congestion charge,Traffic,Transport,Congestion tax,reduce air pollution,Good health and well-being,Sustainable cities and communities,,,59.3251172,18.0710935,,,,,,,,,,,,,,,,,,,,,,,,,politicians,threats,business,huge,participate,improvement,pay,money,purchase,efficient,logging,populated,demographics,harm,émissions,cooled,financières,ride,taxes,administration,improve,financial,improving,roads,pollution,political,,,,,,,,,,,,reduce air pollution,Traffic,Congestion charge,transport,Congestion tax,Good health and well-being,Sustainable cities and communities,,
42,Environmental Episode program,Policy intervention,Improve Air Quality,"The Chilean government's Environmental Episodes program employs short-term solutions to lessen the intensity and detrimental effects of poor air quality spikes on human health. This policy calls for declaring ""Environmental Episodes"" on days when exceptionally bad air quality is predicted. Such Episode notifications set off a series of official procedures and public alerts meant to enhance local air quality and promote avoidance behaviors among the general public. It has been demonstrated that the program lowers mortality rates among the elderly on the day of and in the days following the implementation of the episode, as well as ambient concentrations of particulate matter.",Health,FALSE,Policy/regulation measure,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Study on the effects of the Environmental Episode program: https://citeseerx.ist.psu.edu/document?repid=rep1&amp;type=pdf&amp;doi=956f5ad5ee9b960552d9736feadbcedfd097903b,"-31.7613365, -71.3187697",,,,,,,,,,,,,Air quality,Air pollution episodes,Environmental episodes,,,Good health and well-being,,,,-31.7613365,-71.3187697,,,,,,,,,,,,,,,,,,,,,,,,,politicians,harm,day,eco,ecological,month,tomorrow,administration,decades,improving,weekly,political,participate,disaster,death,improvement,youth,efficient,threats,business,older,huge,biowaste,child,,,,,,,,,,,,,,Environmental episodes,Air pollution episodes,Air Quality,,,Good health and well-being,,,
43,Escola Respira (School Breaths),Policy intervention,Education,"Escola Respira (School Breathes) is a municipal programme of initiatives for improving air quality in school environments such as awareness-raising actions among the entire school community. It revolves around four core areas: the urban space, classrooms, recreational spaces, and cross-cutting and educational aspects. The programme includes 2 lines of action for actively working with schools ‚Äì air quality eco-audits and awareness raising ‚Äì and 4 more lines of action, including promotion of green walls, increasing safety, sustainable mobility and urban model initiatives.",Health,FALSE,FALSE,Mitigation measure,FALSE,FALSE,FALSE,FALSE,Awareness raising and knowladge sharing,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,"41.3828939, 2.1774322",,,,,,,,,,,,,Air quality,Air pollution,School,Education,,Good health and well-being,Sustainable cities and communities,,,41.3828939,2.1774322,,,,,,,,,,,,,,,,,,,,,,,,,educators,accessible,disabilities,psychological,neighbourhood,threats,sustainable,educational,easier,mental,harm,required,restrictions,instructors,desired,repurposed,charity,project,colourful,attention,municipales,improve,improving,fundraising,neighborhood,participate,improvement,color,,,,,,,,,,education,school,Air Quality,air pollution,,Good health and well-being,Sustainable cities and communities,,
44,Solar for All,"Policy intervention, Subsidy scheme",Households,"Solar for All is a New York State utility bill assistance program (financial support scheme). New York State is funding solar farms to benefit nearby homeowners and renters who may not be able to access solar (clean energy). Through Solar for All, vulnerable households prone to energy poverty can get the benefits of clean energy while lowering their energy costs.",Reducing energy poverty,FALSE,FALSE,Mitigation measure,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Video: https://youtu.be/EahVLhv0Q_c?feature=shared

The program is now piloted in Europe, specifically in Portugal, Spain, France and Italy, through the Sun4All program financed by the European Union Horizon Fund. https://sunforall.eu/about/sun4all-project","40.7127281, -74.0060152",,,,,,,,,,,,,Air quality,Renewable energy,Solar,Clean energy,Energy poverty,Good health and well-being,Affordable and clean energy,Climate action,,40.7127281,-74.0060152,,,,,,,,,,,,,,,,,,,,,,,,,excels,language,demographics,harm,formalization,innovationchallenge,day,project,financières,month,observations,administration,municipales,improve,measuring,decades,improving,analyse,neighborhood,translation,political,керівник,participate,purchase,efficient,politicians,neighbourhood,threats,business,older,huge,craft,,,,,,solar,clean energy,renewable energy,Energy poverty,Air Quality,Affordable and clean energy,Good health and well-being,Climate action,
45,Barcelona Superblock,Urban planning,Transport,"A strategy for transforming public spaces throughout the city, under a new, healthier and fairer model that supports local relations. Traffic is restricted in strategic areas while active mobility, connection to public transport, recreational uses, green spaces, social cohesion and a green and innovative economy are promoted.","Health, Social cohesion, Local economic development",FALSE,FALSE,Mitigation measure,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Barcelona Urban Mobility Plan 2013-2018 https://prod-mobilitat.s3.amazonaws.com/PMU_Sintesi_Angles.pdf,"41.3828939, 2.1774322",,,,,,,,,,,,,Air pollution,Air quality,Superblock,Urban Planning,Green spaces,Good health and well-being,Sustainable cities and communities,Climate action,,41.3828939,2.1774322,,,,,,,,,,,,,,,,,,,,,,,,,accessible,efficient,medicine,neighbourhood,politicians,neighborhood,translation,competitions,political,threats,керівник,participate,disabilities,language,huge,big,demographics,harm,formalization,required,restrictions,excels,camping,health,parks,observations,administration,municipales,improve,measuring,improving,analyse,,,,,,Green spaces,Urban planning,air pollution,Air Quality,Superblock,Sustainable cities and communities,Good health and well-being,Climate action,
46,Nanjing Green Towers (Nanjing Vertical Forest),"Infrastructure, Architecture",Construction,"Along the facades, 600 tall trees, 500 medium-sized trees (for a total amount of 1100 trees from 23 local species) and 2500 cascading plants and shrubs will cover a 6.000 sqm area. A real vertical forest that will help to regenerate local biodiversity, will provide a 25 tons of CO2 absorption each year and will produce about 60 kg of oxygen per day.","Absorb carbon dioxide in the city, Regenerate biodiversity,",FALSE,FALSE,Mitigation measure,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,https://interestingengineering.com/culture/china-vertical-forest-fight-air-pollution,"32.0438284, 118.7788631",,,,,,,,,,,,,Green building,Urban greening,,,,Sustainable cities and communities,Climate action,Life on land,,32.0438284,118.7788631,,,,,,,,,,,,,,,,,,,,,,,,,varieties,populated,publication,planted,isolated,demographics,forest,reconstitution,harm,restrictions,émissions,fight,violence,cooled,web,repurposed,liter,eco,ecological,larger,crimes,country,improve,réchauffement,internet,website,pollution,керівник,والاجتماعية,diversity,accessible,public,threats,ocean,huge,biowaste,,Green building,Urban Greening,,,,Sustainable cities and communities,Life on land,Climate action,
47,Our Clean Air Kit project,Initiative,Education,"Supplying citizens with testing kits to learn more about the air quality in their local areas. The kits include a monitoring tube and an easy-to-follow guide, so concerned citizens can get accurate answers about the air they breathe.","By educating people on the importance of clean air, what they can do to lower their emissions, and how to be aware of the air quality in their area, the pollution problem can be better addressed.",FALSE,FALSE,FALSE,Awareness raising and knowladge sharing,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,"54.7023545, -3.2765753",,,,,,,,,,,,,Monitoring,Education,Reduce emissions,,,Good health and well-being,Climate action,,,54.7023545,-3.2765753,,,,,,,,,,,,,,,,,,,,,,,,,huge,керівник,accessible,public,efficient,neighbourhood,language,isolated,big,formalization,restrictions,regions,improving,neighborhood,translation,,,,,,,,,,,,,,,,,,,,,,,monitoring,Reduce emissions,education,,,Good health and well-being,Climate action,,
48,,"Policy, Design",Households,"Project providing around 20,000 energy efficient and clean cookstoves for local communities. The clean cookstoves use less than half of the wood previously required, meaning that women and children have to spend less time collecting and chopping the wood, less money purchasing wood, and are breathing in smaller volumes of particulate matter.","Reduced deforestation in the local area. Better community health due to improved indoor air quality such as fewer respiratory illnesses such as asthma and coughs from smoke inhalation. Lowering atmospheric CO2 concentration and contributing to a decarbonised society. Local training to manufacture, distribute, install and maintain the cookstoves. Community education to understand the problems caused by deforestation",Active measures (direct measures for reduction of air pollution),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Awareness raising and knowladge sharing,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,"-0.1029109, 34.7541761",,,,,,,,,,,,,Deforestation,Energy efficiency,,,,Good health and well-being,Climate action,Life on land,,-0.1029109,34.7541761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,energy efficiency,deforestation,,,,Life on land,Good health and well-being,Climate action,
49,Mandragore Carbon Sink Tower,"Design, Infrastructure Development, Urban Planning &amp; Design",Construction,A design based on the mandrake plant and packed with many innovative energy-saving and carbon-capture technologies and strategies. It uses the best passive heating and cooling techniques to condition the interior space. It incorporates as many natural materials as possible and a literal forest of plants and trees,"improve energy efficiency, reduce carbon emissions, increase biodiversity",FALSE,FALSE,Mitigation measure,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,"40.7127281, -74.0060152",,,,,,,,,,,,,sustainable architecture,Urban Green Infrastructure,Carbon footprint,,,Sustainable cities and communities,Climate action,Life on land,,40.7127281,-74.0060152,,,,,,,,,,,,,,,,,,,,,,,,,accessible,language,isolated,formalization,restrictions,innovationchallenge,cooled,day,project,liter,regions,eco,month,larger,improve,decades,improving,neighborhood,translation,керівник,heat,diversity,public,efficient,neighbourhood,ocean,older,digitalisation,huge,varieties,biowaste,craft,,,,,,Urban Green Infrastructure,Carbon Footprint,sustainable architecture,,,,,,
50,Anti-smog guns,Design,Improve Air Quality,"The guns work by spraying water vapor into the air, which absorbs the pollutants before falling to the ground like rain. the machine can help clear the dust and pollution particles from the environment and also reduce PM 10 and PM 2.5.","reduce pollution, prevent health risks",Active measures (direct measures for reduction of air pollution),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"While it doesn‚Äôt remove the contaminants entirely, it‚Äôs an effective short-term solution for smog-heavy days where breathing the air could present a severe health risk to residents.","28.6273928, 77.1716954",,,,,,,,,,,,,Air quality,Air pollution,Health and Pollution,Innovation,,Good health and well-being,Climate action,,,28.6273928,77.1716954,,,,,,,,,,,,,,,,,,,,,,,,,huge,désinfectant,improvement,efficient,politicians,neighbourhood,older,populated,language,demographics,formalization,émissions,cooled,day,month,administration,municipales,improve,ventilation,decades,improving,infections,neighborhood,translation,pollution,clean,political,керівник,participate,,,,,,,,,innovation,Air Quality,Health and Pollution,air pollution,,Good health and well-being,Climate action,,
